bc,bn,md,ttm,duration,cr %,m,,,,,,,ty %,tn
A00102,100央債甲2,120/01/13,11.63,10.37,2.125,1-Jan,-,-,-,-,-,-,0.777,114.9264
A00104,100央債甲4,130/02/22,21.74,17.98,2,1-Jan,-,-,-,-,-,-,0.9884,119.6969
A00105,100央債甲5,110/03/17,1.8,1.78,1.375,1-Jan,-,-,-,-,-,-,0.4998,101.562
A00107,100央債甲7,120/08/02,12.18,10.85,1.875,1-Jan,-,-,-,-,-,-,0.7936,112.5022
A00108,100央債甲8,130/08/22,22.23,18.33,1.875,1-Jan,-,-,-,-,-,-,0.9965,117.4389
A00109,100央債甲9,110/09/30,2.34,2.29,1.25,1-Jan,-,-,-,-,-,-,0.5209,101.6885
A00201,100央債乙1,120/05/26,11.99,10.9,1.75,1-Jan,-,-,-,-,-,-,0.7892,110.9494
A01102,101央債甲2,121/01/20,12.64,11.44,1.625,1-Jan,-,-,-,-,-,-,0.8078,109.7831
A01104,101央債甲4,131/02/13,22.71,18.97,1.75,1-Jan,-,-,-,-,-,-,1.0041,115.0772
A01105,101央債甲5,111/03/07,2.77,2.72,1.25,1-Jan,-,-,-,-,-,-,0.5347,101.9612
A01107,101央債甲7,121/08/10,13.2,11.9,1.5,1-Jan,-,-,-,-,-,-,0.8233,108.4284
A01108,101央債甲8,131/08/24,23.24,19.38,1.625,1-Jan,-,-,-,-,-,-,1.012,112.635
A01109,101央債甲9,111/09/24,3.32,3.24,1.125,1-Jan,-,-,-,-,-,-,0.5478,101.8933
A01201,101央債乙1,121/03/16,12.8,11.59,1.625,1-Jan,-,-,-,-,-,-,0.8119,109.8431
A01202,101央債乙2,111/05/24,2.98,2.93,1.25,1-Jan,-,-,-,-,-,-,0.5401,102.0954
A02101,102央債甲1,117/01/09,8.61,8.1,1.375,1-Jan,-,-,-,-,-,-,0.6931,105.6816
A02103,102央債甲3,122/01/28,13.67,12.36,1.5,1-Jan,-,-,-,-,-,-,0.8355,108.5466
A02105,102央債甲5,132/02/26,23.75,19.7,1.75,1-Jan,-,-,-,-,-,-,1.0155,115.426
A02106,102央債甲6,112/03/06,3.77,3.68,1.125,1-Jan,-,-,0.55,102.1378,-,-,0.5588,102.1046
A02108,102央債甲8,122/07/26,14.16,12.32,2,1-Jan,-,-,-,-,-,-,0.8439,115.3638
A02109,102央債甲9,132/08/02,24.18,18.8,2.5,1-Jan,-,-,-,-,-,-,1.0098,131.8229
A02110,102央甲10,112/09/18,4.3,4.12,1.75,1-Jan,-,-,-,-,-,-,0.5745,104.9824
A02201,102央債乙1,122/03/21,13.81,12.34,1.75,1-Jan,-,-,-,-,-,-,0.8372,111.855
A03103,103央債甲3,123/01/29,14.67,12.83,2,1-Jan,-,-,-,-,-,-,0.8563,115.701
A03105,103央債甲5,133/02/26,24.75,19.84,2.125,1-Jan,-,-,-,-,-,-,1.0196,124.0659
A03106,103央債甲6,113/03/03,4.76,4.59,1.5,1-Jan,-,-,0.58,104.3058,-,-,0.591,104.2531
A03107,103央債甲7,123/04/25,14.91,13.14,1.875,1-Jan,-,-,-,-,-,-,0.8629,114.0969
